Scheme Name,Net Asset Value,
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582,
,,
Tata Mutual Fund,,
,,
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option,12.5265,
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option,12.5265,
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,12.3027,
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option,12.3027,
Tata Banking & PSU Debt Fund-Direct Plan-Growth,12.5265,
Tata Banking & PSU Debt Fund-Regular Plan-Growth,12.3027,
,,
Trust Mutual Fund,,
,,
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1099.7281,
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1087.3283,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1029.7961,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1102.9269,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1030.9168,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1043.6222,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1023.5699,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1017.6287,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1089.5949,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1023.9124,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1032.3997,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1019.5542,
,,
UTI Mutual Fund,,
,,
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.1241,
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,16.3837,
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,19.0127,
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.6163,
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.6382,
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,14.1509,
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,11.9853,
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.6082,
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.5555,
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.5177,
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.9024,
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.8013,
,,
Open Ended Schemes(Debt Scheme - Corporate Bond Fund),,
,,
Aditya Birla Sun Life Mutual Fund,,
,,
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,96.5048,
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,95.2631,
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.9921,
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.4779,
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.3941,
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.3408,
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535,
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457,
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986,
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708,
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763,
,,
Axis Mutual Fund,,
,,
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2348,
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.2178,
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,12.8596,
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3765,
Axis Corporate Debt Fund - Direct Plan Growth,15.1524,
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2347,
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.2133,
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,12.2383,
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.258,
Axis Corporate Debt Fund - Regular Plan Growth,14.5065,
,,
Bandhan Mutual Fund,,
,,
BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.2401,
BANDHAN Corporate Bond Fund - Direct Growth,16.744,
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.4403,
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.348,
BANDHAN Corporate Bond Fund - Direct Periodic IDCW,11.1087,
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.4512,
BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.2337,
BANDHAN Corporate Bond Fund - Regular Growth,16.3711,
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,10.8529,
BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6011,
BANDHAN Corporate Bond Fund - Regular Periodic IDCW,11.0363,
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.4947,
,,
Baroda BNP Paribas Mutual Fund,,
,,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.4399,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,26.9837,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.1787,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.2222,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,10.602,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,24.5958,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.2544,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.4071,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.3774,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,23.3162,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.2105,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.2992,
,,
Canara Robeco Mutual Fund,,
,,
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.8551,
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.3275,
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.7907,
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.6656,
,,
DSP Mutual Fund,,
,,
DSP Corporate Bond Fund - Direct - Growth,13.8469,
DSP Corporate Bond Fund - Direct - IDCW,11.3062,
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4452,
DSP Corporate Bond Fund - Direct - IDCW - Quarterly,11.3003,
DSP Corporate Bond Fund - Regular - Growth,13.6854,
DSP Corporate Bond Fund - Regular - IDCW,11.2839,
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4271,
DSP Corporate Bond Fund - Regular - IDCW - Quarterly,10.6604,
,,
Franklin Templeton Mutual Fund,,
,,
Franklin India Corporate Debt Fund - Direct - Bonus,0,
Franklin India Corporate Debt Fund - Direct - GROWTH,90.2352,
Franklin India Corporate Debt Fund - Growth,84.3171,
Franklin India Corporate Debt Fund - Monthly Bonus,0,
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.3122,
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.2363,
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.6207,
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.5554,
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6262,
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.768,
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.8737,
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.1791,
,,
HDFC Mutual Fund,,
,,
HDFC Corporate Bond Fund - Growth Option,27.5066,
HDFC Corporate Bond Fund - Growth Option - Direct Plan,27.9578,
HDFC Corporate Bond Fund - IDCW Option,17.8195,
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,18.2972,
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.4296,
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.269,
,,
HSBC Mutual Fund,,
,,
HSBC Corporate Bond Fund - Direct Annual IDCW,11.9127,
HSBC Corporate Bond Fund - Direct Growth,66.1924,
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.5099,
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.0572,
HSBC Corporate Bond Fund - Regular Annual IDCW,11.7382,
HSBC Corporate Bond Fund - Regular Growth,62.5943,
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.1602,
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.9332,
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.7767,
,,
ICICI Prudential Mutual Fund,,
,,
ICICI Prudential Corporate Bond Fund - Bonus,14.9782,
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065,
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008,
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669,
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,26.3075,
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827,
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.242,
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.1142,
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332,
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243,
ICICI Prudential Corporate Bond Fund - Growth,25.2357,
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555,
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.3967,
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277,
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.077,
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.304,
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.9351,
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275,
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041,
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853,
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008,
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335,
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202,
,,
Invesco Mutual Fund,,
,,
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1669.1851,
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1234.5769,
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2873.6266,
Invesco India Corporate Bond Fund - Direct Plan - Growth,2872.7162,
